timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1689819600000.0,30006.1,30006.1,30002.0,30006.0,29.561,886949.974,254.0,15.74,472267.3052
1689819900000.0,30006.0,30020.9,30006.0,30018.1,18.375,551523.5773,328.0,7.713,231465.8081
1689820200000.0,30018.2,30024.8,30016.0,30024.8,14.918,447851.4139,474.0,3.988,119723.981
1689820500000.0,30024.8,30024.9,29986.8,29993.1,48.239,1447555.5378,788.0,10.26,307827.5695
1689820800000.0,29993.1,29993.2,29970.3,29981.7,56.656,1698460.4702,808.0,21.914,656857.4712
1689821100000.0,29981.7,29984.9,29976.5,29984.8,31.174,934656.3818,461.0,18.191,545391.0462
1689821400000.0,29984.9,30005.0,29984.1,29984.1,31.072,932014.9192,570.0,13.119,393452.613
1689821700000.0,29984.2,29984.2,29970.0,29977.7,31.508,944488.5288,483.0,12.791,383388.2429
1689822000000.0,29977.8,29979.6,29967.5,29979.5,32.672,979327.879,492.0,7.019,210376.7509
1689822300000.0,29979.5,29984.0,29959.0,29969.8,25.787,772872.1502,729.0,12.48,373986.8236
1689822600000.0,29969.8,29972.0,29957.8,29967.7,32.717,980365.1279,548.0,16.992,509136.8045
1689822900000.0,29967.7,29975.6,29964.4,29967.0,23.932,717251.0273,349.0,11.854,355259.3783
1689823200000.0,29967.0,29968.7,29966.0,29966.0,14.857,445232.2628,247.0,8.755,262365.4693
1689823500000.0,29966.0,29966.1,29922.0,29924.0,115.81,3467033.6756,1403.0,51.878,1552834.9299
1689823800000.0,29924.0,29928.0,29908.0,29927.9,51.043,1527007.2309,866.0,33.583,1004665.1602
1689824100000.0,29928.0,29928.0,29927.9,29927.9,10.482,313705.155,124.0,9.072,271506.816
1689824400000.0,29928.0,29939.1,29927.9,29939.0,10.565,316252.9882,260.0,9.646,288743.2663
1689824700000.0,29939.0,29939.1,29939.0,29939.0,4.616,138198.744,83.0,3.2,95805.12
1689825000000.0,29939.0,29939.1,29930.1,29935.1,28.231,845121.2354,620.0,10.176,304606.4594
1689825300000.0,29935.2,29948.5,29935.1,29942.7,32.084,960622.2486,477.0,25.464,762374.0354
1689825600000.0,29942.6,29955.9,29942.6,29948.1,40.745,1220387.5614,501.0,22.296,667794.165
1689825900000.0,29948.2,29952.9,29948.0,29952.8,15.829,474059.5747,199.0,7.936,237678.3034
1689826200000.0,29952.8,29962.5,29952.8,29956.5,20.01,599462.4763,423.0,12.774,382663.8625
1689826500000.0,29956.6,29963.7,29956.5,29960.4,10.902,326648.9539,200.0,2.13,63816.9777
1689826800000.0,29960.4,29960.4,29931.4,29931.4,44.518,1333222.6813,723.0,12.936,387452.3714
1689827100000.0,29931.5,29931.5,29920.0,29924.2,25.34,758263.5406,526.0,14.195,424744.1618
1689827400000.0,29924.1,29936.0,29924.1,29936.0,31.066,929752.0314,329.0,27.963,836895.1717
1689827700000.0,29936.0,29940.1,29934.1,29940.1,20.325,608441.3222,315.0,8.505,254602.432
1689828000000.0,29940.1,29963.8,29940.0,29962.0,37.523,1124053.1948,508.0,30.116,902117.597
1689828300000.0,29962.0,29975.3,29962.0,29975.2,14.494,434389.1511,350.0,13.282,398063.6036
1689828600000.0,29975.2,29975.3,29948.0,29948.1,46.204,1384490.9703,844.0,1.044,31285.1592
1689828900000.0,29948.1,29958.0,29948.0,29953.2,8.42,252206.2159,405.0,5.286,158324.4358
1689829200000.0,29953.2,29960.4,29950.0,29950.0,28.306,847954.5003,391.0,14.159,424150.0427
1689829500000.0,29950.0,29950.1,29948.0,29948.0,9.608,287758.7827,210.0,1.532,45883.3948
1689829800000.0,29948.1,29970.0,29948.0,29969.9,19.414,581648.2368,393.0,16.999,509282.9469
1689830100000.0,29970.0,30050.0,29969.9,30019.8,326.841,9810469.282,3185.0,197.572,5929641.3475
1689830400000.0,30019.9,30032.0,30006.9,30030.0,70.037,2102334.1952,1151.0,30.878,926942.428
1689830700000.0,30030.0,30033.8,30014.1,30030.0,30.019,901381.5766,799.0,12.074,362550.9465
1689831000000.0,30030.1,30070.3,30022.2,30066.1,120.175,3611973.9951,1483.0,53.778,1616206.1715
1689831300000.0,30066.0,30108.6,30063.9,30086.3,197.008,5928087.8485,2611.0,82.904,2494492.0949
1689831600000.0,30086.4,30171.3,30073.0,30133.8,226.998,6839859.2078,3491.0,132.769,4000319.9776
1689831900000.0,30133.9,30149.1,30107.9,30112.0,146.975,4426849.8531,1921.0,60.165,1812080.9562
1689832200000.0,30112.1,30159.4,30112.1,30147.7,131.629,3967739.6568,1722.0,66.278,1997670.3233
1689832500000.0,30147.7,30161.0,30118.2,30120.7,88.867,2678286.0592,1593.0,32.444,977876.7154
1689832800000.0,30120.8,30148.7,30120.8,30148.7,100.477,3028062.3351,1318.0,48.659,1466350.9315
1689833100000.0,30148.6,30150.0,30124.6,30124.6,49.262,1484877.5729,1027.0,11.908,358954.754
1689833400000.0,30124.6,30124.6,30078.7,30080.0,96.054,2891020.0721,1266.0,28.721,864371.6151
1689833700000.0,30080.1,30108.2,30080.1,30099.3,56.679,1705882.0681,1188.0,34.314,1032625.1839
1689834000000.0,30099.3,30135.9,30094.5,30120.0,64.67,1947789.321,1278.0,38.429,1157342.2856
1689834300000.0,30120.0,30193.1,30120.0,30182.0,119.66,3610426.4154,1802.0,79.034,2384353.2195
1689834600000.0,30182.1,30182.7,30136.8,30136.8,112.468,3392367.0388,1962.0,46.024,1388337.8217
1689834900000.0,30136.9,30153.3,30130.0,30130.0,59.543,1794631.8757,1110.0,25.871,779684.1214
1689835200000.0,30130.0,30130.1,30096.0,30099.1,57.533,1732231.794,1053.0,23.842,717721.9921
1689835500000.0,30099.2,30114.0,30097.0,30097.1,74.314,2237394.5416,1074.0,41.663,1254292.9969
1689835800000.0,30097.0,30113.4,30093.4,30106.4,39.199,1180109.7354,808.0,19.388,583687.457
1689836100000.0,30106.2,30111.8,30104.0,30111.7,26.137,786892.46,480.0,12.515,376772.2072
1689836400000.0,30111.8,30135.1,30111.7,30128.1,55.616,1675467.9543,718.0,29.861,899484.0132
1689836700000.0,30128.1,30135.2,30102.1,30102.1,25.945,781440.654,627.0,8.918,268599.0415
1689837000000.0,30102.1,30107.8,30094.8,30100.0,34.185,1029009.6323,634.0,19.22,578528.3048
